token_str,n,mean_resid,mean_kl
 Additionally,6,4.587105734603898,4.962571588655313
 politics,14,2.7313500552841425,3.9740437865257263
 sex,11,1.7984405065837363,3.571948289871216
 inquiries,12,1.779407422920506,2.079403648773829
 If,80,1.6306345000737559,2.7274106691009363
Impro,5,1.2627160983953956,3.3559965074062346
 answers,16,1.1613983856519603,2.078332893550396
Building,5,1.1249823336113283,2.546363350749016
 non,10,1.002787004297966,1.932564689218998
 violence,15,0.994412250427473,1.2904137243827185
Subject,7,0.9631993897661945,2.8870235681533813
 very,16,0.8679239136846405,1.4463058114051819
 topics,31,0.8369622030549994,1.1747173325368954
 encourage,6,0.8116900257829407,1.603627197444439
I,221,0.6876434060434796,2.7145266148527214
However,10,0.6711533111229052,3.861421039700508
 political,13,0.5729816905578515,1.4797426806046412
.g,8,0.5712576390537523,0.5830924634356052
Design,6,0.5504186402983656,1.715727301935355
 distress,9,0.5219381483273555,0.7654384018646346
Title,11,0.508411637579034,1.4181044589389453
 sensitive,11,0.4738773224614819,0.7462285394695672
 His,6,0.4602077962209618,0.6874155203501383
 beyond,9,0.42815954828471475,0.929977125591702
 please,14,0.4237634090620518,0.6323925355183226
 engage,12,0.4130188728475144,0.8204118007173141
 These,33,0.4013012622989072,0.6685688627150023
 It,128,0.39906835253542283,0.8001939976056747
 How,9,0.39862927605444165,0.7134927188356718
 learn,7,0.38888209245546024,0.7633868700691632
