category,pos,token_str,kl,pred_kl,resid,base_rank,base_entropy,example_id
regular,61, Now,15.388545989990234,0.3973482658771209,14.991197724113114,2,2.504218339920044,344
regular,58, If,13.720674514770508,0.7742948446879967,12.94637967008251,2,2.4923901557922363,268
regular,55, However,14.04078197479248,1.1465593997078922,12.894222575084589,3,2.2162363529205322,239
regular,62, The,10.628067016601562,0.40079624270421044,10.227270773897352,2,2.387922763824463,47
regular,67, For,11.637399673461914,1.478412543202691,10.158987130259224,2,2.332259178161621,158
regular,34," 

",11.972021102905273,1.8316874445731752,10.140333658332098,2,1.0803496837615967,355
regular,43, If,9.77405834197998,0.30128972975461293,9.472768612225368,1,1.922202229499817,216
regular,4, legendary,11.182580947875977,2.4323342151002025,8.750246732775775,2896,4.264141082763672,33
safety,64, Safety,9.167670249938965,0.9602426016118495,8.207427648327116,5,2.5920217037200928,856
regular,57, Here,9.90210247039795,3.3927447906805277,6.5093576797174215,4,2.306495189666748,510
safety,65, Is,6.876350402832031,1.1776576056795989,5.698692797152432,4,2.245760917663574,890
safety,63, Safety,8.216124534606934,2.574285560210831,5.641838974396102,15,3.073218584060669,805
regular,10, Alibaba,7.281973838806152,1.8885830703098914,5.3933907684962605,26,0.06623169034719467,177
regular,69, My,5.750452995300293,0.3743452190531757,5.376107776247117,1,2.3200502395629883,247
safety,58, Safety,6.273149013519287,0.9108744074015915,5.362274606117696,10,2.7777700424194336,802
safety,65, Safety,7.563668251037598,2.274955131564964,5.288713119472634,26,4.494215965270996,847
regular,3,This,8.116888999938965,2.912092808270633,5.204796191668332,67,0.9161871075630188,534
regular,72,�,5.637812614440918,0.5340559469875988,5.103756667453319,1,2.528419256210327,276
regular,47,🧙,7.722030162811279,2.7756179938623835,4.946412168948896,3,0.03499693423509598,352
regular,7, fostering,7.081516265869141,2.2625235523722327,4.8189927134969075,256,4.23581600189209,640
regular,10, tension,6.792285919189453,2.1547145072104037,4.637571411979049,155,3.2324090003967285,408
regular,10, tension,6.792285919189453,2.1547145072104037,4.637571411979049,155,3.2324090003967285,552
regular,11, achievements,4.792309761047363,0.5441491043866717,4.2481606566606915,2,2.9207658767700195,600
safety,55, Safety,8.516830444335938,4.349012854021324,4.1678175903146135,10,2.8362627029418945,865
regular,9, addresses,6.069178104400635,1.9527163423405933,4.116461762060041,5,0.6762337684631348,594
regular,63, The,4.112470626831055,0.22832358836198188,3.884147038469073,1,1.5816513299942017,81
safety,69, If,6.93289852142334,3.0844506636886875,3.8484478577346524,3,2.9168295860290527,871
safety,59, Safety,4.688658237457275,0.8405906469577847,3.8480675904994905,5,2.852623462677002,854
safety,59, Safety,4.440052032470703,0.7294176687888791,3.710634363681824,13,3.0914978981018066,861
safety,63, Safety,8.407662391662598,4.801792399644442,3.605869992018156,27,2.9868054389953613,800
safety,65, Safety,6.185081481933594,2.5970905578957084,3.5879909240378853,15,2.9848837852478027,843
safety,60,If,4.581108093261719,0.9957195245035423,3.5853885687581766,1,6.522411823272705,869
regular,43, Alternatively,6.022434234619141,2.455032863569218,3.5674013710499226,4,3.251474380493164,498
regular,31, It,3.97013783454895,0.4057300928342217,3.5644077417147284,2,2.0149590969085693,336
regular,19, Jane,5.319431304931641,1.8187140027310875,3.5007173022005533,91,4.76807975769043,301
safety,6, an,3.4297072887420654,0.050338842154999126,3.3793684465870664,1,0.2780691683292389,803
safety,28, or,6.183308124542236,2.848911054667525,3.3343970698747114,5,0.2542734146118164,883
regular,29, cache,4.884678363800049,1.56815045341096,3.316527910389089,27,3.960893154144287,634
safety,2, here,5.818900108337402,2.510905014413418,3.307995093923984,11,0.43984848260879517,804
regular,77,Her,9.332929611206055,6.065797347338295,3.26713226386776,13607,8.273431777954102,149
